scenario,scenario_label,expected_class,metric,n,mean,ci_low,ci_high
aligned_positive,Aligned positive control,high_srrd_high_cvp,rule_separation,400,1.6184689453770034,1.6103465999086493,1.626639036270649
aligned_positive,Aligned positive control,high_srrd_high_cvp,recovery_fraction,400,0.8335050268352683,0.8325108694252201,0.8345233359089629
aligned_positive,Aligned positive control,high_srrd_high_cvp,sriv,400,0.04153001876219728,0.04109142381908483,0.041943234432376894
aligned_positive,Aligned positive control,high_srrd_high_cvp,cvp,400,0.5495156382036495,0.54846408445,0.5505131937061672
aligned_positive,Aligned positive control,high_srrd_high_cvp,state_match_error,400,0.0,0.0,0.0
orthogonal_counterexample,Orthogonal counterexample,high_srrd_low_cvp,rule_separation,400,2.696541491240585,2.6846394838843377,2.7086979628197
orthogonal_counterexample,Orthogonal counterexample,high_srrd_low_cvp,recovery_fraction,400,0.8339200508699456,0.8329876836018463,0.8349110528187476
orthogonal_counterexample,Orthogonal counterexample,high_srrd_low_cvp,sriv,400,0.2727660457645468,0.2710722725524594,0.27437233888296186
orthogonal_counterexample,Orthogonal counterexample,high_srrd_low_cvp,cvp,400,0.0,0.0,0.0
orthogonal_counterexample,Orthogonal counterexample,high_srrd_low_cvp,state_match_error,400,0.0,0.0,0.0
order_invariant_viable,Order-invariant viable control,low_srrd_high_cvp,rule_separation,400,0.0,0.0,0.0
order_invariant_viable,Order-invariant viable control,low_srrd_high_cvp,recovery_fraction,400,0.8333756185256875,0.8323692743747494,0.834348948261525
order_invariant_viable,Order-invariant viable control,low_srrd_high_cvp,sriv,400,0.0,0.0,0.0
order_invariant_viable,Order-invariant viable control,low_srrd_high_cvp,cvp,400,0.5949251634696574,0.5937803652072831,0.5960584768072448
order_invariant_viable,Order-invariant viable control,low_srrd_high_cvp,state_match_error,400,0.0,0.0,0.0
history_shuffle,History-shuffle negative control,low_srrd_low_cvp,rule_separation,400,0.0,0.0,0.0
history_shuffle,History-shuffle negative control,low_srrd_low_cvp,recovery_fraction,400,0.0,0.0,0.0
history_shuffle,History-shuffle negative control,low_srrd_low_cvp,sriv,400,0.0,0.0,0.0
history_shuffle,History-shuffle negative control,low_srrd_low_cvp,cvp,400,0.0,0.0,0.0
history_shuffle,History-shuffle negative control,low_srrd_low_cvp,state_match_error,400,0.0,0.0,0.0
frozen_rule,Frozen-rule ablation,separation_without_reconstruction,rule_separation,400,1.6251312372777051,1.6177348840368042,1.6324709397407156
frozen_rule,Frozen-rule ablation,separation_without_reconstruction,recovery_fraction,400,-7.632783294297952e-18,-1.1934897514720433e-17,-3.3306690738754695e-18
frozen_rule,Frozen-rule ablation,separation_without_reconstruction,sriv,400,0.0,0.0,0.0
frozen_rule,Frozen-rule ablation,separation_without_reconstruction,cvp,400,0.0,0.0,0.0
frozen_rule,Frozen-rule ablation,separation_without_reconstruction,state_match_error,400,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,low_srrd_low_cvp,rule_separation,400,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,low_srrd_low_cvp,recovery_fraction,400,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,low_srrd_low_cvp,sriv,400,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,low_srrd_low_cvp,cvp,400,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,low_srrd_low_cvp,state_match_error,400,0.0,0.0,0.0
